character,defination
㺢,<big><font color='#f00'>huò</font></big><font face='AR UDJingxihei'><br>• see 㺢㹢狓[huò jiā pī]<br></font>
㺵,<big><font color='#f00'>jiǔ</font></big><font face='AR UDJingxihei'><br>• variant of 玖[jiǔ]<br>• black jade<br></font>
㻽,<big><font color='#f00'>xuán</font></big><font face='AR UDJingxihei'><br>• variant of 璿|璇[xuán]<br>• also pr. [suì]<br></font>
㼝,<big><font color='#f00'>wǎn</font></big><font face='AR UDJingxihei'><br>• variant of 碗[wǎn]<br></font>
㽞,<big><font color='#f00'>liú</font></big><font face='AR UDJingxihei'><br>• old variant of 留[liú]<br></font>
㽮,<big><font color='#f00'>xīng</font></big><font face='AR UDJingxihei'><br>• old variant of 星[xīng]<br></font>
㿜,<big><font color='#f00'>biě</font></big><font face='AR UDJingxihei'><br>• variant of 癟|瘪[biě]<br></font>
㿝,<big><font color='#f00'>xiāng</font></big><font face='AR UDJingxihei'><br>• old variant of 香[xiāng]<br></font>
䂖,<big><font color='#f00'>shí</font></big><font face='AR UDJingxihei'><br>• variant of 石[shí]<br></font>
䂲,<big><font color='#f00'>fǎ</font></big><font face='AR UDJingxihei'><br>• variant of 砝[fǎ]<br></font>
䂶,<big><font color='#f00'>jié</font></big><font face='AR UDJingxihei'><br>• variant of 蜐[jié]<br></font>
䃉,<big><font color='#f00'>mín</font></big><font face='AR UDJingxihei'><br>• old variant of 珉[mín]<br></font>
䅵,<big><font color='#f00'>zhuó</font></big><font face='AR UDJingxihei'><br>• chaff<br>• bran<br></font>
䇲,<big><font color='#f00'>cè</font></big><font face='AR UDJingxihei'><br>• variant of 筴|策[cè]<br></font>
䈰,<big><font color='#f00'>shāo</font></big><font face='AR UDJingxihei'><br>• pot-scrubbing brush made of bamboo strips<br>• basket (container) for chopsticks<br>• variant of 筲[shāo]<br></font>
䊀,<big><font color='#f00'>hú</font></big><font face='AR UDJingxihei'><br>• variant of 糊[hú]<br></font>
䍃,<big><font color='#f00'>yáo</font></big><font face='AR UDJingxihei'><br>• (archaic) vase<br>• pitcher<br></font>
䍹,<big><font color='#f00'>shān</font></big><font face='AR UDJingxihei'><br>• variant of 羶[shān]<br></font>
䒗,<big><font color='#f00'>qì</font></big><font face='AR UDJingxihei'><br>• old variant of 芞[qì]<br></font>
䔢,<big><font color='#f00'>huá</font></big><font face='AR UDJingxihei'><br>• old variant of 華|华[huá]<br></font>
䕭,<big><font color='#f00'>qián</font></big><font face='AR UDJingxihei'><br>• a variety of grass<br>• nettle<br></font>
䕭,<big><font color='#f00'>xián</font></big><font face='AR UDJingxihei'><br>• a kind of vegetable<br></font>
